Sujeito,Função,Norma (competência),Descrição,Previsão regimental,L.O.M.,CESP,CRFB1988
Vereador,1º Secretário,deve,"receber e determinar a elaboração de toda a correspondência oficial da Câmara, sujeitando-se ao conhecimento, apreciação e assinatura do Presidente","26, IV",,,
Vereador,1º Secretário,deve,"encerrar, com as necessárias anotações, as folhas de presença ao final de cada sessão","26, V",,,
Vereador,1º Secretário,deve,"secretariar as reuniões da Mesa, redigindo, em livro próprio, as respectivas atas","26, VI",,,
Vereador,1º Secretário,deve,redigir as atas das sessões secretas,"26, VII",,,
Vereador,1º Secretário,deve,"substituir o Presidente, na falta dos Vice-Presidentes","26, VIII",,,
Vereador,1º Secretário,deve,"Assumir a presidência da Mesa, quando o 1º e 2º Suplentes da Mesa estiverem ocupando os cargos de 1º e 2º Vice-Presidentes e estiver vago o cargo de Presidente","27, §u",,,
Vereador,1º Secretário,deve,Anotar e comunicar ao Plenário o nome e o voto de cada Vereador na votação pelo processo nominal,"296, §1; 301, §4",,,
Vereador,1º Secretário,deve,Proceder à segunda chamada de votos pelo processo nominal quando não houver atingido o quórum na primeira chamada de votos ,"296, §2; 301, §4",,,
Vereador,1º Secretário,deve,"Proceder à terceira chamada de votos pelo processo nominal dos Vereadores que ainda não tenham votado, quando necessário para fins de quórum ","296, §2; 301, §4",,,
Vereador,1º Secretário,deve,"Registrar as decisões do Presidente e condensar os precedentes regimentais - que deverão conter, além do texto, a indicação do dispositivo regimental a que se referem, o número e a data da sessão em que foram estabelecidos e a assinatura de quem, na presidência dos trabalhos, os estabeleceu - para serem lidos pelo Presidente até o termino da sessão ordinária seguinte","313, §2, §3",,,
Vereador,1º Secretário,deve,"Verificar o cumprimimento das exigências do artigo 317 quando receber projeto de iniciativa popular, no prazo de 5 dias, e certificar o cumprimento","318, §1",,,
Vereador,1º Secretário,deve,"Devolver a propositura de iniciativa popular a seus promotores, quando verificar-se a ausência do cumprimento dos requisitos de subscrição e autoria exigidos para projetos populares","318, §2",,,
Vereador,1º Secretário,deve,"apreciar recurso contra decisão da Mesa que devolveu o projeto de inciativa popular a seus promotores por inobservância do artigo 317, e decidir sobre seu provimento","318, §2",,,
Vereador,1º Secretário,deve,"Encaminhar à Presidência o projeto de inciativa popular para que seja lido, publicado, e despachado às Comissões, após fazer a conferência do número legal de subscrições ","318, §2",,,
Vereador,1º Secretário,deve,"Receber e numerar os projetos de leis orçamentárias recebidos do Executivo até as dastas previstas no artigo 329, independente de leitura, e enviá-los à Comissão de Finanças e Orçamento",330; 331,,,
Vereador,1º Secretário,deve,Providenciar a publicação dos projetos de leis orçamentárias recebidos do executivo nos termos do art. 329 ,330; 331,,,
Vereador,1º Secretário,deve,Providenciar a distribuição em avulso aos Vereadores dos projetos de leis orçamentárias recebidos do executivo nos termos do art. 329,330; 331,,,
Vereador,1º Suplente,deve,"Assumir a plenitude das funções da Presidência da mesa em caráter interino na ausência do 2º Secretário, até que se proceda à eleição do novo presidente ",7,,,
Vereador,1º Suplente,deve,"substituir interinamente o 2º Secretário e, sucessivamente, o 1º Secretário, bem como o 2º Vice-Presidente e o 1º Vice-Presidente, quando afastados temporariamente do cargo - o primeiro Suplente da Mesa e, na sua falta, o segundo",27,,,
Vereador,1º Vice-Presidente,deve,"Assumir a plenitude das funções da Presidência da mesa, em caráter interino, na ausência do Presidente, até que se proceda à eleição do novo presidente",7,,,
Vereador,1º Vice-Presidente,deve,Substituir o Presidente no exercício de suas funções quando este estiver ausente do recinto no momento da sessão ,24,,,
Vereador,1º Vice-Presidente,deve,"substituir o Presidente em suas faltas, ausências, impedimentos ou licenças, ficando, nas duas últimas hipóteses, investidos na plenitude das respectivas funções ",25,,,
Vereador,2º Secretário,deve,"Assumir a plenitude das funções da Presidência da mesa em caráter interino na ausência do 1º Secretário, até que se proceda à eleição do novo presidente",7,,,
Vereador,2º Secretário,deve,"Substituir o 1º Secretário em suas faltas, ausências, impedimentos ou licenças, ficando, nas duas últimas hipóteses, investido na plenitude das respectivas funções ","26, §u",,,
Vereador,2º Suplente,deve,"Assumir a plenitude das funções da Presidência da mesa em caráter interino na ausência do 1º Suplente, até que se proceda à eleição do novo presidente",7,,,
Vereador,2º Suplente,deve,"substituir interinamente o 2º Secretário e, sucessivamente, o 1º Secretário, bem como o 2º Vice-Presidente e o 1º Vice-Presidente, quando afastados temporariamente do cargo - o primeiro Suplente da Mesa e, na sua falta, o segundo",27,,,
Vereador,2º Vice-Presidente,deve,"Assumir a plenitude das funções da Presidência da mesa em caráter interino na ausência do 1º Vice-Presidente, até que se proceda à eleição do novo presidente",7,,,
Vereador,2º Vice-Presidente,deve,Substituir o Presidente no exercício de suas funções quando este e o 1º Vice estiverem ausentes do recinto no momento da sessão,24,,,
Vereador,2º Vice-Presidente,deve,"substituir o Presidente em suas faltas, ausências, impedimentos ou licenças, ficando, nas duas últimas hipóteses, investidos na plenitude das respectivas funções ",25,,,
Vereador,Autor da denúncia,Tem competência para,"praticar todos os atos de acusação, mas impedido de votar sobre a denúncia e de integrar a Comissão Processante, quando for autor da denúncia","129, §2",,,
Vereador,Autor da denúncia,não pode,"participar do processo de julgamento do Prefeito e do Vice-Prefeito nas infrações político-administrativas, quando for o vereador denunciante","390, §6",,,
Vereador,Autor de proposição,Tem competência para,"apresentar recurso ao plenário, quando sua proposição for rejeitada pela CCJ em parecer de inconstitucionalidade ou ilegalidade, no prazo de 30 dias a contar da notificação feita pela Assessoria Técnica da Mesa",79,,,
Vereador,Autor de proposição,deve,fundamentar por escrito a proposição da qual seja autor - assim considerado o primeiro que subscrevê-la,214,,,
Vereador,Autor de proposição,Tem competência para,"Reapresentar projeto de lei devolvido, na sessão seguinte à que houver sido restituido",215,,,
Vereador,Autor de proposição,deve,"escaminhar as proposições à Mesa no momento próprio, datilografadas e acompanhadas do necessário número de cópias",218,,,
Vereador,Autor de proposição,deve,"Apresentar projetos conforme as exigências do Regimento Interno, cumprindo com os seguintes requisitos: I - ementa de seu objetivo; II - conter, tão somente, a enunciação da vontade legislativa; III - divisão em artigos numerados, claros e concisos; IV - menção da revogação das disposições em contrário, quando for o caso; V -  ssinatura do autor; VI - justificação, com a exposição circunstanciada dos motivos de mérito que fundamentam a adoção da medida proposta",238,,,
Vereador,Autor de proposição,Tem competência para,"Apresentar recurso ao Plenário, quando for autor de proposição devolvida nos termos do artigo 212 ","212, §2; 311; 312",,,
Vereador,Autor de proposição,deve,apresentar por escrito com subscrição da maioria absoluta dos membros da Câmara nos requerimentos previstos nos incisos VI a XV do art. 223 ,"223, §1, §2",,,
Vereador,Autor de proposição,Tem competência para,"Apresentar requerimento escrito, sujeito a despacho de plano pelo Presidente, que solicite a retirada, pelo autor, de proposição sem parecer ou com parecer contrário","223, VI",,,
Vereador,Autor de proposição,Tem competência para,"voltar à tribuna, durante 15 minutos além do tempo regimental de fala, para dar explicação, quando for autor ou relator de proposição, por requerimento de 1/3 dos membros da Câmara ","279, §§",,,
Vereador,Autor de proposição,Tem competência para,"revisar o aparte, mediante permissão do orador, quando for autor da proposição","283, §3",,,
Vereador,Autor de proposição,tem a prerrogativa de,"ter preferência para fazer uso da palavra, o autor da proposição incluída na pauta de deliberações conclusivas das Comissões, se assim o desejar, por 10 (dez) minutos, no início ou no final dos debates sobre seu projeto, nas sessões plenárias conjuntas das comissões competentes à apreciação de proposição que tenha recebido pareceres divergentes ","83, §4",,,
Vereador,Autor de proposição,Tem competência para,"Ter preferência para fazer uso da palavra, quando tiver proposição de sua autoria incluída na pauta de deliberações conclusivas das Comissões, se assim o desejar, por 10 (dez) minutos, no início ou no final dos debates sobre seu projeto, nas sessões plenárias conjuntas das comissões competentes à apreciação de proposição que tenha recebido pareceres divergentes ","83, §4",,,
Vereador,Autor de proposição,Tem competência para,"Falar em Plenário para debater sobre o tema em questão, por 20 minutos prorrogáveis a juízo da Comissão, nas audiências públicas previstas no art. 41 da Lei Orgânica, quando for autor do projeto ou o convidado, não podendo ser aparteado ","86, §2",41,,
Vereador,Bancada,Tem competência para,Denunciar o Prefeito nas infrações político-administrativas definidas no art. 73 da LOM,"390, §1",73,,
Vereador,Bancada,Tem competência para,Denunciar o Vice-Prefeito nas infrações político-administrativas definidas no art. 73 da LOM,"390, §1",73,,
Vereador,Denunciado,Tem competência para,"Falar ao Plenário para discutir processo de destuição dos membros da mesa, ou 120 minutos, com apartes ","306, V, g",,,
Vereador,Denunciado,tem competência para,"O relator e denunciados podem falar ao Plenário para discutir processo de cassação de mandato de Vereador, por 120 minutos, com apartes ","306, V, h",,,
Vereador,Escrutinador,Tem competência para,"exercer a função de escrutinador das votações secretas, convidado pelo Presidente da Mesa, fazendo as devidas anotações, competindo a cada um deles, ao registrar o voto, apregoar os resultados parciais ","298, II",,,
Vereador,Líder,Tem competência para,"indicar os membros do partido que irão integrar cada Comissão, como titulares ou substitutos, no prazo de 5 dias úteis a contar da publicação da representação numérica de cada partido, na Imprensa Oficial. Se, no prazo fixado a liderança não comunicar os nomes de sua representação para compor as Comissões, o Predidente fará de ofício a designação",42,,,
Vereador,Líder,Tem competência para,"comunicar o presidente sobre Licença de Vereador para tratamento de saúde, quando este encontrar-se impossibilitado física ou mentalmente de subscrever comunicação de licença; caso em que cabe ao Presidente declará-lo licenciado",113,,,
Vereador,Líder,Tem competência para,"gozar de preferência para encaminhar a votação, quando for o Líder",291,,,
Vereador,Líder,Tem competência para,"gozar de preferência para encaminhar a votação, o Líder, Vice-Líder ou o Vereador indicado pela Bancada",291,,,
Vereador,Líder,Tem competência para,"indicar um vice-líder para cada 3 vereadores de sua representação, podendo eleger um deles como 1º Vice-Líder","119, §1",,,
Vereador,Líder,deve,"permanecer no exercício de suas funções até que nova indicação venha a ser feita pela respectiva representação, e ser substituído em suas faltas, licenças ou impedimentos pelos Vice-Líderes ","119, §3",,,
Vereador,Líder,deve,"perder suas atribuições e prerrogativas regimentais, quando as lideranças dos Partidos que se coligarem em Bloco Parlamentar","119, §4",,,
Vereador,Líder,Tem competência para,"Falar pela Ordem na qualidade de Líder, declarando-se o motivo, para dirigir à Mesa comunicações relativas à sua Bancada, Partido ou Bloco Parlamentar quando, pela sua relevância e urgência interesse ao conhecimento da Câmara, ou, ainda, para indicar, nos impedimentos de membros de Comissões pertencentes à Bancada, os respectivos substitutos ","120, I; 307, III",,,
Vereador,Líder,Tem competência para,"Falar pela ordem para dirigir à Mesa comunicações relativas à sua Bancada, Partido ou Bloco Parlamentar quando, pela sua relevância e urgência interesse ao conhecimento da Câmara, ou, ainda, para indicar, nos impedimentos de membros de Comissões pertencentes à Bancada, os respectivos substitutos","120, I; 307, III",,,
Vereador,Líder,Tem competência para,"usar o tempo de que dispõe o seu liderado, no Grande Expediente, ou cedê-lo a outro membro de sua bancada, quando o Vereador chamado a falar estiver ausente e não tiver cedido seu tempo
","120, II; 162",,,
Vereador,Líder,Tem competência para,"encaminhar a votação de qualquer proposição sujeita à deliberação do Plenário, para orientar sua Bancada, por tempo não superior a 1 (um) minuto","120, III",,,
Vereador,Líder,Tem competência para,registrar os candidatos do Partido ou Bloco Parlamentar para concorrer aos cargos da Mesa,"120, IV",,,
Vereador,Líder,Tem competência para,"indicar à Mesa os membros da Bancada para comporem as Comissões e, a qualquer tempo, substituí-los","120, V",,,
Vereador,Líder,Tem competência para,"Requerer a retomada da tramitação regimental dos processos arquivados no início da legislatura por não terem sido aprovados em, pelo menos, uma discussão, até o encerramento da legislatura anterior ","275, §2",,,
Vereador,Líder,Tem competência para,"fazer acordo com lideranças para fazer a permuta de vagas nas Comissões, com a finalidade de prevalecer o critério da atividade profissional do Vereador com a competência da Comissão","40, §5 ",,,
Vereador,Mais idoso,deve,"presidir a sessão e a eleição da mesa no início de cada legislatura, observando-se o disposto nos artigoa 10 e 11 do RI, quando for o vereador mais idoso",4,,,
Vereador,mais idoso,Tem competência para,"assumir a Presidência e abrir a sessão se, à hora regimental, não estiverem presentes os membros da Mesa e os respectivos Suplentes",133,,,
Vereador,Mais idoso,deve,"presidir a Sessão Solene do primeiro ano de cada legislatura e empossar os Vereadores da Casa, quando for o Vereador mais idoso","3, §1",,,
Vereador,membro da Mesa,tem a prerrogativa de,"enviar à Mesa ofício requerendo sua renúncia, que se efetivará quando for lida em sessão",30,,,
Vereador,membro da Mesa,não pode,"presidir ou secretariar sessões cujo objeto for apreciação de parecer da Comissão Processante ou da Comissão de Constituição e Justiça pela destituição de membro da mesa, bem como participar das votações respectivas, quando estiver envolvido nas acusações",36,,,
Vereador,membro da Mesa,não pode,"faltar a 5 (cinco) reuniões consecutivas ou a 10 (dez) alternadas, sem motivo justificado, sob pena de perder automaticamente o cargo que ocupa","31, §2",,,
Vereador,membro da Mesa,Tem competência para,"Exercer as funções da Mesa até a ocorrência de uma das hipóteses do artigo 6º do RI (sua morte; posse da nova Mesa na forma do artigo 9º; renúncia, apresentada por escrito; pela destituição do cargo; pela perda do mandato)",6º,,,
Vereador,Membro de Comissão,tem competência para,"Recorrer, ao Plenário da Comissão, contra os atos e deliberações do Presidente da Comissão ",51,,,
Vereador,Membro de Comissão,Tem competência para,"Emitir juízo sobre a manifestação do relator, no máximo durante 5 (cinco) minutos, permitida a cessão de tempo",75,,,
Vereador,membro de Comissão,tem competência para,"emitir seu juízo sobre a manifestação do relator, no máximo durante 5 (cinco) minutos, permitida a cessão de tempo. § 1o - O relatório somente será transformado em parecer, se aprovado pela maioria dos membros da Comissão. § 2o - A simples aposição da assinatura, sem qualquer outra observação, implicará na concordância total do signatário à manifestação do relator.",75,,,
Vereador,Membro de Comissão,deve,estar presentes na audiência publica de discussão de projeto de iniciativa popular metade dos membros de cada comissão designada para emissão do parecer conjunto ,320,,,
Vereador,Membro de Comissão,deve,"manifestar-se sobre o projeto de iniciativa popular, em parecer conjunto, no prazo de 7 dias do recebimento deste ","319, §2",,,
Vereador,Membro de Comissão,Tem competência para,"Participar de Comissão Temporária, simultaneamente, quando for membro de Comissão Permanente de caráter técnico-legislativo, observando-se as disposições do RI","38, §3, §4",,,
Vereador,membro de Comissão,tem competência para,"posicionar-se a contra o Parecer do Relator, bastando para tanto a indicação ""contrário"" ao lado da assinatura do parlamentar, ""voto em separado"" ""contrário"", quando se explicita os motivos de se opor frontalmente às conclusões do relator.",76; 77,,,
Vereador,membro de Comissão,tem competência para,"posicionar-se a favor do Parecer do Relator, podendo exarar ""voto em separado"": I - ""pelas conclusões"", quando, embora favorável às conclusões do relator, lhes dê outra e diversa fundamentação; II - ""aditivo"", quando, embora favorável às conclusões do relator, acrescente novos argumentos a sua fundamentação. Para efeito de contagem de votos emitidos, serão considerados favoráveis os que tragam ao lado da assinatura do votante a indicação ""com restrições"" ou ""pelas conclusões"".",76; 77,,,
Vereador,Membro de Comissão,Tem competência para,Votar sobre o tema em questão nas sessões conjuntas das comissões de mérito competentes à apreciação de proposição que tenha recebido pareceres divergentes,"83, §3",,,
Vereador,membro de Comissão Permanente,tem a prerrogativa de,"ter seu mandato automaticamente prorrogado, na mesma legislatura, até que se proceda a sua recomposição, observando-se os §§ do artigo 41",41,,,
Vereador,membro de Comissão Permanente,tem competência para,recorrer ao Plenário da Comissão dos atos e deliberações do Presidente da Comissão,51,,,
Vereador,membro de Comissão Permanente,não pode,"deixar de comparecer a 5 (cinco) reuniões ordinárias consecutivas ou a 10 (dez) intercaladas, sem motivo justificado, sob pena de ser destituído da função, que dar-se-á por simples petição de qualquer Vereador dirigida ao Presidente da Câmara que, após comprovar a veracidade das faltas, declarará vago o cargo na Comissão","44, §1",,,
Vereador,membro mais idoso de Comissão Permanente,deve,presidir as reuniões durante as ausências simultâneas do Presidente e do Vice- Presidente da Comissão ,53,,,
Vereador,membro mais idoso de Comissão Permanente,deve,Presidir as reuniões conjuntas das Comissões,71,,,
Vereador,Orador,Tem competência para,"Solicitar seu discurso para revisão, antes deste ser publicado - os discursos entregues ao orador para revisão serão publicados, independentemente desta, se não devolvidos até a abertura da segunda sessão ordinária subseqüente. A revisão feita em discursos ou apartes, de forma nenhuma poderá deturpar o sentido do debate, devendo restringir-se apenas à maneira formal de expressá-los",149; 150,,,
Vereador,Orador,Tem competência para,"Encaminhar seu discurso à mesa para que seja publicado, desde não exceda: 02 laudas, no peq. expediente; ou 05 laudas no grande expediente","158, 161",,,
Vereador,Orador,Tem competência para,"autorizar a revisão de seu aparte, quando for orador, não podendo modificá-lo posteriormente ","283, §3",,,
Vereador,Orador,Tem competência para,"Falar como orador oficial na sessão solene de entrega de títulos honoríficos, quando autor do projeto de homenagem ou por este designado para falar","351, §2",,,
Vereador,Presidente,Tem competência para,"declarar a perda de mandato do membro da Mesa que faltar a 5 (cinco) reuniões consecutivas ou a 10 (dez) alternadas, sem motivo justificado, mediante comunicação ao Plenário","31, §1, §2",,,
Vereador,Presidente,deve,"determinar o arquivamento do processo de destituição de membro da mesa, quando for aprovado em Plenário parecer da Comissão Processante pela improcedência das acusações","34, I",,,
Vereador,Presidente,deve,"Remeter à CCJ processo de destituição de membro da mesa, quando for aprovado em Plenário parecer da Comissão Processante pela procedência das acusações, para que seja redigida proposta de resolução formalizadora da destituição","34, II",,,
Vereador,Presidente da Comissão,deve,"devolver o processo à Secretaria, sem o parecer, com os motivos da não emissão do mesmo, em casos de transcurso de prazo sem que a Comissão tenha emitido o devido parecer ",64,,,
Vereador,Presidente da Comissão,deve,"Requerer ao Presidente da Câmara processo que ainda não chegou à Comissão, quando deste depender a emissão do parecer sobre Processo em exame ",65,,,
Vereador,Presidente da Comissão,deve,"requisitar ao Executivo informações necessárias à emissão de Parecer, por intermédio do Presidente da Mesa. ",68,,,
Vereador,Presidente da Comissão,deve,"designar um dos membros da Comissão que tenha proferido voto contrário ao do relator para que redija, em 48 (quarenta e oito) horas, o voto vencedor, caso o voto do relator seja vencido e não havendo voto em separado",77,,,
Vereador,Presidente da Comissão,não pode,conceder vista de projeto de legislação orçamentária a qualquer Vereador ,334,,,
Vereador,Presidente da Comissão,deve ,Declarar suspensos os prazos de tramitação dos processos na Comissão quando a Câmara entrar em recesso,"17, II, j; 69",,,
Vereador,Presidente da Comissão,tem a prerrogativa de,"poder voltar à tribuna durante 15 minutos, além do tempo regimental de fala, para dar explicação sobre projeto da Comissão, por requerimento escrito de 1/3 dos membros da Câmara ","279, §1",,,
Vereador,Presidente da Comissão,não pode,funcionar como relator nas proposituras ,"50, §u",,,
Vereador,Presidente da Comissão,tem competência para,"votar em todas as deliberações internas da Comissão, além do voto de qualidade, quando for o caso ","50, §u",,,
Vereador,Presidente da Comissão,deve,"Fixar os horários das reuniões ordinárias, em comum acordo com os membros da Comissão","50, I",,,
Vereador,Presidente da Comissão,deve,"Convocar Audiências Públicas, ouvida a Comissão","50, II",,,
Vereador,Presidente da Comissão,deve,"convocar as audiências públicas das quais dependa a emissão do parecer, a serem realizadas no prazo de 30 dias, enquanto ficam suspensos os prazos do artigo 63, devendo-se observar o interstício de no mínimo 10 dias entre a realização das mesmas, podendo este ser reduzido a 5 dias com a anuência do Plenário ","50, II; 66, §u",,,
Vereador,Presidente da Comissão,deve,Presidir as reuniões das Comissões e nelas manter a ordem,"50, III",,,
Vereador,Presidente da Comissão,tem competência para,"convocar reuniões extraordinárias, de ofício ou a requerimento da maioria dos membros da Comissão","50, IV",,,
Vereador,Presidente da Comissão,deve,submeter a votos as questões em debate e  proclamar o resultado das votações,"50, IX",,,
Vereador,Presidente da Comissão,deve,Determinar a leitura das atas das reuniões e submetê-las a voto,"50, V, 61",,,
Vereador,Presidente da Comissão,deve,"dar conhecimento à Comissão da matéria recebida, e distribuí-la aos relatores, designados mediante rodízio, para emitirem parecer ","50, VI",,,
Vereador,Presidente da Comissão,deve,advertir o orador que se exceder no decorrer dos debates ou faltar à consideração para com seus pares,"50, VII",,,
Vereador,Presidente da Comissão,deve,interromper o orador que se desviar da matéria em debate ,"50, VIII",,,
Vereador,Presidente da Comissão,deve,"conceder vista dos processos, exceto quanto às proposituras com prazo fatal para apreciação ","50, X",,,
Vereador,Presidente da Comissão,deve,"Assinar em primeiro lugar, a seu critério, os pareceres da Comissão","50, XI",,,
Vereador,Presidente da Comissão,deve,enviar à Mesa toda a matéria da Comissão destinada ao conhecimento do Plenário ,"50, XII",,,
Vereador,Presidente da Comissão,deve,"solicitar ao Presidente da Câmara providências, junto às lideranças partidárias, no sentido de serem indicados substitutos para membros da Comissão em caso de vaga, licença ou impedimento ","50, XIII",,,
Vereador,Presidente da Comissão,deve,Representar a Comissão nas suas relações com a mesa e outras comissões ,"50, XIV",,,
Vereador,Presidente da Comissão,deve,fazer observar os prazos regimentais dos processos que tramitam na Comissão ,"50, XIX",,,
Vereador,Presidente da Comissão,deve,"resolver, de acordo com o Regimento, todas as questões de ordem suscitadas nas reuniões da Comissão ","50, XV",,,
Vereador,Presidente da Comissão,deve,apresentar ao Presidente da Câmara relatório mensal e anual dos trabalhos da Comissão ,"50, XVI",,,
Vereador,Presidente da Comissão,deve,encaminhar ao Presidente da Câmara as solicitações de justificação das faltas de  membros da Comissão às reuniões ,"50, XVII",,,
Vereador,Presidente da Comissão,deve,designar os membros de subcomissão ,"50, XVIII",,,
Vereador,Presidente da Comissão,deve,"providenciar a publicação da pauta das reuniões, dos extratos das atas e dos pareceres da Comissão na Imprensa Oficial ","50, XX",,,
Vereador,Presidente da Comissão,deve,fazer cumprir as disposições do Regimento Interno relativas ao funcionamento das Comissões Permanentes ,"55, §2",,,
Vereador,Presidente da Comissão,tem competência para,"expedir convite, para participar da reunião de sua Comissão, aos técnicos de reconhecida competência ou representantes de entidades idôneas, para propiciar esclarecimentos sobre o assunto submetido à apreciação da comissão, por iniciativa própria ou a requerimento de qualquer vereador","60, §u",,,
Vereador,Presidente da Comissão,deve,"Rubricar todas as folhas e lacrar a ata de reunião secreta, determinando seja enviada ao arquivo da Comissão","61, §u",,,
Vereador,Presidente da Comissão,deve,"Designar os respectivos relatores ou Subcomissão para emitir parecer, no prazo máximo de 3 (três) dias úteis a partir do primeiro dia útil subseqüente ao que o processo der entrada na Comissão","63, §2",,,
Vereador,Presidente da Comissão,deve,"Determinar a publicação do parecer de Comissão, no prazo de 3 dias após sua deliberação","75, §3",,,
Vereador,Presidente da Comissão,deve,"advertir, cassar a palavra ou determinar a retirada do recinto do expositor que se desviar do assunto ou perturbar a ordem dos trabalhos, nas audiências públicas previstas no artigo 41 da LOM ","86, §3",41,,
Vereador,Presidente da Comissão,deve,"lavras as atas das audiências públicas, e enviá-las ao arquivo da Comissão junto com os pronunciamentos escritos, as notas taquigráficas (que integram o processo) e documentos que os acompanharem, permitindo-se a qualquer tempo o traslado de peças e fornecimento de cópia aos interessados ","88, §1, §2",,,
Vereador,Presidente da Comissão,deve,definir o número de membros das Comissões de Estudos e designar pelo menos um membro titular de sua comissão para integrá-la,"99, §1",,,
Vereador,Presidente da Comissão de Constituição e Justiça,deve,"presidir a audiência pública de discussão de projeto de iniciativa popular, e organizá-la de forma a se cumprir a seguinte ordem de trabalho: I - leitura da propositura, sua justificativa e relatórios das Comissões competentes, bem como declaração do número de eleitores que a subscrevem; II - defesa oral da propositura pelo prazo de 15 (quinze) minutos, prorrogáveis por mais 15 (quinze) minutos; III - debate sobre a constitucionalidade da propositura; IV - debate sobre os demais aspectos da propositura ","320, §2",,,
Vereador,Presidente da Comissão de Finanças e Orçamento,deve,"convocar ao menos duas audiências públicas para discussão da matéria, durante a tramitação de lei orçamentária ","330, §u",,,
Vereador,Presidente da Comissão de Finanças e Orçamentos ,deve,convocar ao menos duas audiências públicas para discussão da matéria durante a tramitação de lei orçamentária ,"330, §u",,,
Vereador,Presidente da Comissão Parlamentar de Inquérito,deve,"comunicar, em Plenário, a conclusão de seus trabalhos, mencionando o encaminhamento do respectivo relatório para publicação ","95, §u",,,
Vereador,Presidente da Mesa,deve,Representar a Câmara em juízo ou fora dele,16,,,
Vereador,Presidente da Mesa,deve,"licenciar-se, na forma regimental, quando necessário ausentar-se do Município por mais de 15 dias ",19,,,
Vereador,Presidente da Mesa,deve,afastar-se da presidência da Mesa para tomar parte em qualquer discussão,20,,,
Vereador,Presidente da Mesa,não pode,presidir a sessão durante discussão e votação de matéria de sua autoria,21,,,
Vereador,Presidente da Mesa,deve,"Fazer-se publicar na Imprensa Oficial, para a 1ª sessão ordinária da sessão legislativa, a representação numérica dos partidos nas Comissões, tendo as lideranças o prazo de 5 (cinco) dias úteis para a indicação dos membros que, como titulares e substitutos, irão integrar cada Comissão",42,,,
Vereador,Presidente da Mesa,deve,"enviar à publicação, na Imprensa Oficial, a composição nominal de cada Comissão, com a designação dos locais, dias e horários das reuniões, ato seguinte à comunicação ao Plenário do resultado das eleições dos Presidentes e Vices das Comissões Permanentes",43,,,
Vereador,Presidente da Mesa,deve,"designar substituto aos membros de Comissão Permanente no caso de vaga, licença ou impedimento, mediante indicação do Líder do Partido a que pertença a vaga. A substituição perdura enquanto existir o impedimento ou licença",45,,,
Vereador,Presidente da Mesa,deve,"Determinar, de ofício, a inclusão na Ordem do Dia de projetos enviados às Comissões, ainda que sem os devidos pareceres, quando o prazo destas para emissão de parecer ja tenham decorrido. Se necessário, poderá determinar a pronta tramitação do processo",67,,,
Vereador,Presidente da Mesa,deve,"Requerer do executivo, mediante ofício, informações necessárias à emissão de parecer por Comissão, no prazo de 2 dias, a contar da requisição pelo presidente desta. Este pedido de informação suspende por 30 dias os prazos do artigo 63 ",68,,,
